state,x,y
Andaman & Nicobar Islands,182,-198
Andhra Pradesh,-63,-145
Arunachal Pradesh,243,93
Assam,202,51
Bihar,64,45
Chattisgarh,-12,-39
Dadra & Nagar Haveli,-180,-57
Daman & Diu,-204,-41
Delhi,-101,97
Goa,-161,-140
Gujarat,-207,-5
Haryana,-119,104
Himachal Pradesh,-100,159
Jammu & Kashmir,-146,195
Jharkhand,55,3
Karnataka,-126,-157
Kerala,-112,-225
Ladakh,-79,213
Lakshadweep,-206,-218
Madya Pradesh,-84,-3
Maharashtra,-130,-70
Manipur,223,23
Meghalaya,174,39
Mizoram,200,-1
Nagaland,235,51
Odisha,38,-44
Puducherry,-53,-197
Punjab,-145,147
Rajasthan,-168,61
Sikkim,117,75
Tamilnadu,-80,-217
Telangana,-65,-93
Tripura,180,4
Uttarakhand,-67,134
Uttar Pradesh,-30,63
West Bengal,102,-7
